"","STATE","COUNTY","cases","lat","lon","check"
"425","MN","BECKER",1,46.834262,-95.746871,"BECKER"
"426","MN","BLUE EARTH",1,44.061451,-94.003112,"BLUE EARTH"
"427","MN","CARLTON",1,46.556833,-92.720097,"CARLTON"
"428","MN","CARVER",1,44.723162,-93.701637,"CARVER"
"429","MN","CASS",2,41.390677,-94.813882,"CASS"
"430","MN","DAKOTA",2,44.547215,-93.153115,"DAKOTA"
"431","MN","DOUGLAS",1,39.374779,-104.849988,"DOUGLAS"
"432","MN","FARIBAULT",1,43.6503,-93.977974,"FARIBAULT"
"433","MN","GOODHUE",1,44.483189,-92.885609,"GOODHUE"
"434","MN","HENNEPIN",6,44.882838,-93.200671,"HENNEPIN"
"435","MN","HUBBARD",1,46.987609,-94.726405,"HUBBARD"
"436","MN","LAC QUI PARLE",1,45.053253,-96.095554,"LAC QUI PARLE"
"437","MN","LAKE",1,38.946476,-122.657017,"LAKE"
"438","MN","MILLE LACS",1,45.740703,-93.63663,"MILLE LACS"
"439","MN","OLMSTED",3,44.075285,-92.516916,"OLMSTED"
"440","MN","OTTER TAIL",1,46.172907,-95.918542,"OTTER TAIL"
"441","MN","POPE",1,35.706942,-92.843116,"POPE"
"442","MN","RAMSEY",9,44.967965,-93.092168,"RAMSEY"
"443","MN","SHERBURNE",1,45.451864,-93.842187,"SHERBURNE"
"444","MN","STEARNS",1,45.36261,-94.309928,"STEARNS"
"445","MN","WRIGHT",2,42.651566,-93.582732,"WRIGHT"
"446","MO","BARTON",1,38.420451,-98.913448,"BARTON"
"447","MO","BENTON",1,36.397805,-94.043837,"BENTON"
"448","MO","BOLLINGER",1,37.319652,-90.04218,"BOLLINGER"
"449","MO","BUCHANAN",2,42.570346,-91.748063,"BUCHANAN"
"450","MO","BUTLER",2,31.642713,-86.734317,"BUTLER"
"451","MO","CAMDEN",1,30.804684,-81.627717,"CAMDEN"
"452","MO","CLINTON",1,41.9604,-90.636408,"CLINTON"
"453","MO","COOPER",1,38.819678,-92.606295,"COOPER"
"454","MO","DENT",1,37.612779,-91.652493,"DENT"
"455","MO","GREENE",1,32.737366,-87.967724,"GREENE"
"456","MO","HARRISON",1,41.779196,-95.716392,"HARRISON"
"457","MO","HENRY",1,31.559402,-85.222965,"HENRY"
"458","MO","JACKSON",5,34.799983,-85.803464,"JACKSON"
"459","MO","JASPER",1,33.431362,-83.790756,"JASPER"
"460","MO","JEFFERSON",1,33.578097,-86.987228,"JEFFERSON"
